"","subid","group","mean_acc","sum","count"
"1","ap100","control",0.872549019607843,89,102
"2","ap101","control",0.9375,105,112
"3","ap102","control",0.701030927835051,68,97
"4","ap103","control",0.896825396825397,113,126
"5","ap104","control",0.91304347826087,147,161
"6","ap105","control",0.86231884057971,119,138
"7","ap106","control",0.508771929824561,29,57
"8","ap107","control",0.880281690140845,125,142
"9","ap108","control",0.707317073170732,29,41
"10","ap109","control",0.648936170212766,61,94
"11","ap110","control",0.952380952380952,20,21
"12","ap111","control",0.901234567901235,73,81
"13","ap113","control",0.815217391304348,75,92
"14","ap114","control",0.935779816513762,102,109
"15","ap115","control",0.742857142857143,78,105
"16","ap116","control",0.961038961038961,148,154
"17","ap117","control",0.745614035087719,85,114
"18","ap118","control",0.768292682926829,63,82
"19","ap119","control",0.8984375,115,128
"20","ap120","control",0.852272727272727,75,88
"21","ap121","control",0.641509433962264,34,53
"22","ap122","control",0.898148148148148,97,108
"23","ap150","stress",0.88,66,75
"24","ap152","stress",0.846153846153846,44,52
"25","ap153","stress",0.717391304347826,33,46
"26","ap154","stress",0.793103448275862,46,58
"27","ap155","stress",0.716981132075472,38,53
"28","ap156","stress",0.3125,5,16
"29","ap157","stress",0.779411764705882,53,68
"30","ap158","control",0.785714285714286,11,14
"31","ap159","stress",0.836065573770492,51,61
"32","ap160","stress",0.653846153846154,51,78
"33","ap161","stress",0.519230769230769,27,52
"34","ap162","stress",0.656716417910448,44,67
"35","ap163","stress",0.914529914529915,107,117
"36","ap164","stress",0.931818181818182,82,88
"37","ap165","stress",0.915492957746479,65,71
"38","ap166","stress",0.8,72,90
"39","ap167","stress",0.672413793103448,39,58
"40","ap168","stress",0.5,46,92
"41","ap169","stress",0.682692307692308,71,104
"42","ap170","stress",0.925,74,80
"43","ap171","stress",0.804878048780488,33,41
"44","ap172","stress",0.777777777777778,21,27
"45","ap173","stress",0.470588235294118,8,17
"46","ap174","stress",0.885416666666667,85,96
