,subid,sh_count,sh_2dsd,group
0,ap100,88.0,45.1114415217,control
1,ap101,102.0,45.3182150905,control
2,ap102,66.0,48.4105026302,control
3,ap103,113.0,42.4745851584,control
4,ap104,146.0,44.8731246168,control
5,ap105,119.0,41.9880632049,control
6,ap107,124.0,43.5193276919,control
7,ap108,28.0,44.4268587744,control
8,ap109,61.0,41.4468092854,control
9,ap110,20.0,46.3381627121,control
10,ap111,73.0,46.2649764421,control
11,ap113,75.0,44.6780711892,control
12,ap114,102.0,44.667390476,control
13,ap115,78.0,41.9158220573,control
14,ap116,146.0,44.0097555138,control
15,ap117,85.0,41.2333105408,control
16,ap118,63.0,47.3779783733,control
17,ap119,115.0,42.9850922377,control
18,ap120,73.0,47.616548141,control
19,ap121,34.0,49.8294612405,control
20,ap122,96.0,46.661819644,control
21,ap150,66.0,42.5461369818,stress
22,ap152,42.0,45.1942702363,stress
23,ap153,32.0,38.957507313,stress
24,ap154,45.0,37.1808398889,stress
25,ap155,38.0,40.324583429,stress
26,ap157,53.0,39.9358146479,stress
27,ap158,11.0,43.2075553939,control
28,ap159,50.0,46.9817107747,stress
29,ap160,51.0,41.6389255491,stress
30,ap161,27.0,40.1408625629,stress
31,ap162,42.0,46.3305955233,stress
32,ap163,107.0,44.9678539365,stress
33,ap164,82.0,46.9288748727,stress
34,ap165,65.0,43.2493256934,stress
35,ap166,72.0,44.9509579725,stress
36,ap167,39.0,39.7748001576,stress
37,ap168,46.0,38.5456155609,stress
38,ap169,70.0,42.1452986681,stress
39,ap170,74.0,46.7147362563,stress
40,ap171,33.0,42.9131751419,stress
41,ap172,21.0,46.2988296994,stress
42,ap173,8.0,40.4943401568,stress
43,ap174,85.0,44.0823715385,stress
