"","group","subid","mean"
"1","control","ap100",0.226130191079709
"2","control","ap101",0.446911636985593
"3","control","ap102",0.892746069554212
"4","control","ap103",-0.733330789663178
"5","control","ap104",0.163312399482242
"6","control","ap105",0.376408356158842
"7","control","ap107",0.201695773118938
"8","control","ap108",-0.250732457024107
"9","control","ap109",-0.208348421545764
"10","control","ap110",0.304036462306325
"11","control","ap111",0.543223077299359
"12","control","ap113",0.731833012712037
"13","control","ap114",0.214391825526255
"14","control","ap115",-0.409495859481836
"15","control","ap116",0.410224391930639
"16","control","ap117",0.196393585802732
"17","control","ap118",2.16281509770771
"18","control","ap119",0.111935231659154
"19","control","ap120",1.42993690010426
"20","control","ap121",0.00662245389474241
"21","control","ap122",0.997108755998825
"22","control","ap158",-0.311624733292091
"23","stress","ap150",-0.891498265398745
"24","stress","ap152",1.13605706344063
"25","stress","ap153",-0.0168250576975161
"26","stress","ap154",0.00372195624328334
"27","stress","ap155",1.75423077989009
"28","stress","ap157",0.971252561758343
"29","stress","ap159",0.098038482241926
"30","stress","ap160",-0.709433162609104
"31","stress","ap161",-0.910015575573333
"32","stress","ap162",-0.66945250508072
"33","stress","ap163",1.27009111755565
"34","stress","ap164",0.0752625086095765
"35","stress","ap165",0.67022306377675
"36","stress","ap166",-0.262823102547832
"37","stress","ap167",0.928293036561484
"38","stress","ap169",-0.467414905369864
"39","stress","ap170",0.5282778624493
"40","stress","ap171",0.928293393390227
"41","stress","ap172",-0.64604493017285
"42","stress","ap173",0.20312296396625
