subid,group,remove
loc100,control,
loc101,control,
loc102,control,
loc103,control,
loc104,control,
loc105,control,
loc106,control,
loc107,control,
loc108,control,
loc109,control,
loc110,control,
loc111,control,
loc113,control,
loc114,control,
loc115,control,
loc116,control,
loc117,control,
loc118,control,
loc119,control,
loc120,control,
loc121,control,
loc122,control,
loc158,control,
loc150,stress,
loc151,stress,
loc152,stress,
loc153,stress,
loc154,stress,
loc155,stress,
loc156,stress,
loc157,stress,
loc159,stress,
loc160,stress,
loc161,stress,
loc162,stress,
loc163,stress,
loc164,stress,
loc165,stress,
loc166,stress,
loc167,stress,
loc168,stress,
loc169,stress,
loc170,stress,
loc172,stress,
loc171,stress,
loc173,stress,
loc174,stress,
